group,enhancement,code,notes,copay,vsp,chargeback,exclusive_key,applies_to,composable,active,service_fee,chargeback_split
Material,CR,AA,,$31 ,21,$10 ,base_material,"SV,OCC",yes,yes,,
Material,CR,AA,,$35 ,21,$14 ,base_material,"SV,OCC",yes,yes,,
Material,Mid,AB,,$56 ,27,$29 ,base_material,"SV,OCC",yes,yes,,
Material,Mid,AB,,$60 ,27,$33 ,base_material,"SV,OCC",yes,yes,,
Material,Hi67,AH,,$83 ,35,$48 ,base_material,"SV,OCC",yes,yes,,
Material,Hi67,AH,,$98 ,40,$58 ,base_material,"SV,OCC",yes,yes,,
Material,Hi70,AJ,,$111 ,43,$68 ,base_material,"SV,OCC",yes,yes,,
Material,Hi70,AJ,,$118 ,40,$78 ,base_material,"SV,OCC",yes,yes,,
Material,Poly,AD,Note: No Service Fee for covered polycarbonate for children/handicapped/Federal Plan.,$35 ,21,$14 ,base_material,"SV,OCC",yes,yes,,
Material,Poly,AD,Note: No Service Fee for covered polycarbonate for children/handicapped/Federal Plan.,$35 ,21,$14 ,base_material,"SV,OCC",yes,yes,,
Material,,AF,,$60 ,25,$35 ,base_material,"SV,OCC",yes,yes,,
Material,,AF,,$138 ,53,$85 ,base_material,"SV,OCC",yes,yes,,
Material,CR,BA,,$45 ,21,$24 ,base_material,"SV,OCC",yes,yes,,
Material,CR,BA,,$55 ,21,$34 ,base_material,"SV,OCC",yes,yes,,
Material,Mid,BA+BB,Copay = 45+28 (SV) / 55+28 (MF),45 + 28,12,16,base_material,"SV,OCC",yes,yes,,24 + 16
Material,Mid,BA+BB,Copay = 45+28 (SV) / 55+28 (MF),45 + 38,12,16,base_material,"SV,OCC",yes,yes,,24 + 16
Material,Hi67,BA+BH,Copay = 45+58 (SV) / 55+68 (MF),45 + 58,21,37,base_material,"SV,OCC",yes,yes,,24 + 37
Material,Hi67,BA+BH,Copay = 45+58 (SV) / 55+68 (MF),45 + 78,28,40,base_material,"SV,OCC",yes,yes,,24 + 40
Material,Hi70,BA+BJ,Copay = 45+86 (SV),45 + 86,29,57,base_material,"SV,OCC",yes,yes,,24 + 57
Material,Poly,BA+BD,Copay = 45+10 (SV) / 55+10 (MF),45 + 10,0,10,base_material,"SV,OCC",yes,yes,,24 + 10
Material,Poly,BA+BD,Copay = 45+10 (SV) / 55+10 (MF),45 + 20,0,10,base_material,"SV,OCC",yes,yes,,24 + 10
Sun,Polarized,DA,,$57 ,21,$36 ,sun_tech,ALL,yes,yes,,
Sun,Polarized,DA,,$77 ,29,$48 ,sun_tech,ALL,yes,yes,,
Sun,Polarized,DA+DB,Copay = 57+76 (SV) / 77+95 (MF),57 + 76,29,47,sun_tech,ALL,yes,yes,,36 + 47
Sun,Polarized,DA+DB,Copay = 57+76 (SV) / 77+95 (MF),57 + 115,36,59,sun_tech,ALL,yes,yes,,36 + 59
Sun,Polarized,DA+DH,Copay = 57+89 (SV) / 77+108 (MF),57 + 89,34,55,sun_tech,ALL,yes,yes,,36 + 55
Sun,Polarized,DA+DH,Copay = 57+89 (SV) / 77+108 (MF),57 + 128,41,67,sun_tech,ALL,yes,yes,,36 + 67
Sun,Polarized,DA+DJ,Copay = 57+108 (SV),57 + 108,38,70,sun_tech,ALL,yes,yes,,36 + 70
Sun,Polarized,DA+DD,Copay = 57+31 (SV) / 77+31 (MF),57 + 31,18,13,sun_tech,ALL,yes,yes,,36 + 13
Sun,Polarized,DA+DD,Copay = 57+31 (SV) / 77+31 (MF),57 + 51,18,13,sun_tech,ALL,yes,yes,,36 + 13
Sun,Polarized,DE,,$78 ,29,$49 ,sun_tech,ALL,yes,yes,,
Sun,Polarized,DE,,$101 ,38,$63 ,sun_tech,ALL,yes,yes,,
Occupational,NVF,IA,,$50 ,24,$26 ,occupational,OCC,yes,yes,,
Occupational,NVF,IA+IB,Copay = 50+24 (MF),50 + 24,13,11,occupational,OCC,yes,yes,,26 + 11
Occupational,NVF,IA+II,Copay = 50+50 (MF),50 + 50,23,27,occupational,OCC,yes,yes,,26 + 27
Occupational,NVF,IA+IJ,Copay = 50+60 (MF),50 + 60,24,36,occupational,OCC,yes,yes,,26 + 36
Occupational,NVF,IA+ID,Copay = 50+20 (MF),50 + 20,13,7,occupational,OCC,yes,yes,,26 + 7
Occupational,Blended,GA,,$30 ,16,$14 ,occupational,OCC,yes,yes,,
Sun,SolidTint,MN,,$15 ,10,$5 ,tint_type,ALL,yes,yes,,
Sun,SolidTint,MN,,$15 ,10,$5 ,tint_type,ALL,yes,yes,,
Sun,GradientTint,MP,,$17 ,10,$7 ,tint_type,ALL,yes,yes,,
Sun,GradientTint,MP,,$17 ,10,$7 ,tint_type,ALL,yes,yes,,
Sun,SolidTint,MR,,$34 ,18,$16 ,tint_type,ALL,yes,yes,,
Sun,SolidTint,MR,,$44 ,20,$24 ,tint_type,ALL,yes,yes,,
Sun,SolidTint,MS,,$42 ,20,$22 ,tint_type,ALL,yes,yes,,
Sun,SolidTint,MS,,$42 ,20,$22 ,tint_type,ALL,yes,yes,,
Sun,GradientTint,MT,,$46 ,21,$25 ,tint_type,ALL,yes,yes,,
Sun,GradientTint,MT,,$46 ,21,$25 ,tint_type,ALL,yes,yes,,
Sun,Photochromic,PM,,$33 ,18,$15 ,sun_tech,ALL,yes,yes,,
Sun,Photochromic,PM,,$41 ,18,$23 ,sun_tech,ALL,yes,yes,,
