group,enhancement,code,notes,copay,vsp,chargeback,exclusive_key,applies_to,composable,active,service_fee
Material,CR,AA,,$31 ,21,$10 ,base_material,"SV,OCC",yes,yes,
Material,CR,AA,,$35 ,21,$14 ,base_material,"SV,OCC",yes,yes,
Material,Mid,AB,,$56 ,27,$29 ,base_material,"SV,OCC",yes,yes,
Material,Mid,AB,,$60 ,27,$33 ,base_material,"SV,OCC",yes,yes,
Material,Hi67,AH,,$83 ,35,$48 ,base_material,"SV,OCC",yes,yes,
Material,Hi67,AH,,$98 ,40,$58 ,base_material,"SV,OCC",yes,yes,
Material,Hi70,AJ,,$111 ,43,$68 ,base_material,"SV,OCC",yes,yes,
Material,Hi70,AJ,,$118 ,40,$78 ,base_material,"SV,OCC",yes,yes,
Material,Poly,AD,Note: No Service Fee for covered polycarbonate for children/handicapped/Federal Plan.,$35 ,21,$14 ,base_material,"SV,OCC",yes,yes,
Material,,AF,,$60 ,25,$35 ,base_material,"SV,OCC",yes,yes,
Material,,AF,,$138 ,53,$85 ,base_material,"SV,OCC",yes,yes,
Material,CR,BA,,$45 ,21,$24 ,base_material,"SV,OCC",yes,yes,
Material,CR,BA,,$55 ,21,$34 ,base_material,"SV,OCC",yes,yes,
Material,Mid,BA+BB,Copay = 45+28 (SV) / 55+28 (MF),$73 ,12,$16 ,base_material,"SV,OCC",yes,yes,
Material,Mid,BA+BB,Copay = 45+28 (SV) / 55+28 (MF),$83 ,12,$16 ,base_material,"SV,OCC",yes,yes,
Material,Hi67,BA+BH,Copay = 45+58 (SV) / 55+68 (MF),$103 ,21,$37 ,base_material,"SV,OCC",yes,yes,
Material,Hi67,BA+BH,Copay = 45+58 (SV) / 55+68 (MF),$123 ,28,$40 ,base_material,"SV,OCC",yes,yes,
Material,Hi70,BA+BJ,Copay = 45+86 (SV),$131 ,29,$57 ,base_material,"SV,OCC",yes,yes,
Material,Poly,BA+BD,Copay = 45+10 (SV) / 55+10 (MF),$55 ,0,$10 ,base_material,"SV,OCC",yes,yes,
Material,Poly,BA+BD,Copay = 45+10 (SV) / 55+10 (MF),$65 ,0,$10 ,base_material,"SV,OCC",yes,yes,
Sun,Polarized,DA,,$57 ,21,$36 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA,,$77 ,29,$48 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DB,Copay = 57+76 (SV) / 77+95 (MF),$133 ,29,$47 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DB,Copay = 57+76 (SV) / 77+95 (MF),$172 ,36,$59 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DH,Copay = 57+89 (SV) / 77+108 (MF),$146 ,34,$55 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DH,Copay = 57+89 (SV) / 77+108 (MF),$185 ,41,$67 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DJ,Copay = 57+108 (SV),$165 ,38,$70 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DD,Copay = 57+31 (SV) / 77+31 (MF),$88 ,18,$13 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DA+DD,Copay = 57+31 (SV) / 77+31 (MF),$108 ,18,$13 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DE,,$78 ,29,$49 ,sun_tech,ALL,yes,yes,
Sun,Polarized,DE,,$101 ,38,$63 ,sun_tech,ALL,yes,yes,
Occupational,NVF,IA,,$50 ,24,$26 ,occupational,OCC,yes,yes,
Occupational,NVF,IA+IB,Copay = 50+24 (MF),$74 ,13,$11 ,occupational,OCC,yes,yes,
Occupational,NVF,IA+II,Copay = 50+50 (MF),$100 ,23,$27 ,occupational,OCC,yes,yes,
Occupational,NVF,IA+IJ,Copay = 50+60 (MF),$110 ,24,$36 ,occupational,OCC,yes,yes,
Occupational,NVF,IA+ID,Copay = 50+20 (MF),$70 ,13,$7 ,occupational,OCC,yes,yes,
Occupational,Blended,GA,,$30 ,16,$14 ,occupational,OCC,yes,yes,
Sun,SolidTint,MN,,$15 ,10,$5 ,tint_type,ALL,yes,yes,
Sun,GradientTint,MP,,$17 ,10,$7 ,tint_type,ALL,yes,yes,
Sun,SolidTint,MR,,$34 ,18,$16 ,tint_type,ALL,yes,yes,
Sun,SolidTint,MR,,$44 ,20,$24 ,tint_type,ALL,yes,yes,
Sun,SolidTint,MS,,$42 ,20,$22 ,tint_type,ALL,yes,yes,
Sun,GradientTint,MT,,$46 ,21,$25 ,tint_type,ALL,yes,yes,
Sun,Photochromic,PM,,$33 ,18,$15 ,sun_tech,ALL,yes,yes,
Sun,Photochromic,PM,,$41 ,18,$23 ,sun_tech,ALL,yes,yes,
Sun,Photochromic,PR,,$75 ,30,$45 ,sun_tech,ALL,yes,yes,
AR,A,QM,,$41 ,20,$21 ,ar_level,ALL,yes,yes,
AR,C,QT,,$68 ,27,$41 ,ar_level,ALL,yes,yes,
AR,D,QV,,$85 ,33,$52 ,ar_level,ALL,yes,yes,
Sun,Mirror,QP,,$49 ,23,$26 ,mirror_type,ALL,yes,yes,
Misc,OtherCoating,QR,,$55 ,25,$30 ,mirror_type,ALL,yes,yes,
Misc,Scratch,QQ,,$17 ,10,$7 ,scratch_level,ALL,yes,yes,
Misc,Scratch,QS,,$33 ,18,$15 ,scratch_level,ALL,yes,yes,
Oversize,Frames61mm+,RM,,$11 ,6,$5 ,oversize,ALL,yes,yes,
