plan,kind,code,item,family,material_level,sun,exclusive_group,requires_flags,forbids_flags,applies_to,pair_with,copay_sv,holdback_sv,copay_mf,holdback_mf,notes
VSP_choice,addon,AB,Mid,BOTH,—,Any,,,,all,,56.0,29.0,60.0,33.0,[]
VSP_choice,addon,AD,Poly,BOTH,—,Any,,,,all,,35.0,14.0,35.0,14.0,['Note: No Service Fee for covered polycarbonate for children/handicapped/Federal Plan.']
VSP_choice,addon,AF,nan,BOTH,—,Any,,,,all,,,,,,[]
VSP_choice,addon,AH,Hi67,BOTH,—,Any,,,,all,,83.0,48.0,98.0,58.0,[]
VSP_choice,addon,AJ,Hi70,BOTH,—,Any,,,,all,,111.0,68.0,118.0,78.0,[]
VSP_choice,addon,BA,CR,BOTH,—,Any,,,,all,,45.0,24.0,55.0,34.0,[]
VSP_choice,addon,BV,nan,BOTH,—,Any,,,,all,,,,,,[]
VSP_choice,addon,CM,Custom Measurements (Progressives only),BOTH,—,Any,,no_only,,all,,10.0,2.0,10.0,2.0,[]
VSP_choice,addon,DA,Polarized — Plastic A,BOTH,—,Polarized,sun,,,all,,57.0,36.0,77.0,48.0,[]
VSP_choice,addon,DA+DB,Polarized — Mid,BOTH,—,Polarized,sun,,,all,,133.0,47.0,172.0,59.0,['Copay = 57+76 (SV) / 77+95 (MF)']
VSP_choice,addon,DA+DD,Polarized — Poly,BOTH,—,Polarized,sun,,,all,,88.0,13.0,108.0,13.0,['Copay = 57+31 (SV) / 77+31 (MF)']
VSP_choice,addon,DA+DH,Polarized — Hi67,BOTH,—,Polarized,sun,,,all,,146.0,55.0,185.0,67.0,['Copay = 57+89 (SV) / 77+108 (MF)']
VSP_choice,addon,DA+DJ,Polarized — Hi70,BOTH,—,Polarized,sun,,,all,,165.0,70.0,165.0,70.0,['Copay = 57+108 (SV)']
VSP_choice,addon,DE,Polarized — Glass,BOTH,—,Polarized,sun,,,all,,78.0,49.0,101.0,63.0,[]
VSP_choice,addon,FA,F,MF,—,Any,,,,all,,,,105.0,54.0,[]
VSP_choice,addon,FA+FB,F,MF,—,Any,,,,all,,,,152.0,25.0,['Copay = 105+47']
VSP_choice,addon,FA+FD,F,MF,—,Any,,,,all,,,,140.0,15.0,['Copay = 105+35']
VSP_choice,addon,FA+FH,F,MF,—,Any,,,,all,,,,183.0,48.0,['Copay = 105+78']
VSP_choice,addon,FA+FJ,F,MF,—,Any,,,,all,,,,230.0,77.0,['Copay = 105+125']
VSP_choice,addon,FA+FP,F,MF,—,Any,,,,all,,,,187.0,51.0,['Copay = 105+82']
VSP_choice,addon,FE,F,MF,—,Any,,,,all,,,,110.0,59.0,[]
VSP_choice,addon,GA,Blended,BOTH,—,Any,,,,all,,30.0,14.0,30.0,14.0,[]
VSP_choice,addon,IA,NVF,BOTH,—,Any,,,,all,,50.0,26.0,50.0,26.0,[]
VSP_choice,addon,IA+IB,NVF,BOTH,—,Any,,,,all,,74.0,11.0,74.0,11.0,['Copay = 50+24 (MF)']
VSP_choice,addon,IA+ID,NVF,BOTH,—,Any,,,,all,,70.0,7.0,70.0,7.0,['Copay = 50+20 (MF)']
VSP_choice,addon,IA+II,NVF,BOTH,—,Any,,,,all,,100.0,27.0,100.0,27.0,['Copay = 50+50 (MF)']
VSP_choice,addon,IA+IJ,NVF,BOTH,—,Any,,,,all,,110.0,36.0,110.0,36.0,['Copay = 50+60 (MF)']
VSP_choice,addon,IM,nan,BOTH,—,Any,,,,all,,,,,,[]
VSP_choice,addon,IN,nan,BOTH,—,Any,,,,all,,,,,,[]
VSP_choice,addon,IP,nan,BOTH,—,Any,,,,all,,,,,,[]
VSP_choice,addon,IV,nan,BOTH,—,Any,,,,all,,,,,,[]
