group,subtype,enhancement,code,notes,copay,vsp,chargeback,exclusive_key,applies_to,composable,active
Material,CR,Aspheric Plastic 1.50,AA,,0,0,10.0,material,"SV,OCC",yes,yes
Material,CR,Aspheric Plastic 1.50,AA,,0,0,14.0,material,"SV,OCC",yes,yes
Material,Mid,High-index Plastic 1.53–1.60/Trivex,AB,,0,0,29.0,material,"SV,OCC",yes,yes
Material,Mid,High-index Plastic 1.53–1.60/Trivex,AB,,0,0,33.0,material,"SV,OCC",yes,yes
Material,Hi67,High-index Plastic 1.66/1.67,AH,,0,0,48.0,material,"SV,OCC",yes,yes
Material,Hi67,High-index Plastic 1.66/1.67,AH,,0,0,58.0,material,"SV,OCC",yes,yes
Material,Hi70,High-index Plastic 1.70 and Above,AJ,,0,0,68.0,material,"SV,OCC",yes,yes
Material,Hi70,High-index Plastic 1.70 and Above,AJ,,0,0,78.0,material,"SV,OCC",yes,yes
Material,Poly,Polycarbonate,AD,Note: No Service Fee for covered polycarbonate for children/handicapped/Federal Plan.,0,0,14.0,material,"SV,OCC",yes,yes
Material,Poly,Polycarbonate,AD,Note: No Service Fee for covered polycarbonate for children/handicapped/Federal Plan.,0,0,14.0,material,"SV,OCC",yes,yes
Material,Material,High-index Glass 1.60–1.80 (Clear),AF,,0,0,35.0,material,"SV,OCC",yes,yes
Material,Material,High-index Glass 1.60–1.80 (Clear),AF,,0,0,85.0,material,"SV,OCC",yes,yes
Material,CR,Digital Aspheric Lenses – Plastic,BA,,0,0,24.0,material,"SV,OCC",yes,yes
Material,CR,Digital Aspheric Lenses – Plastic,BA,,0,0,34.0,material,"SV,OCC",yes,yes
Material,Mid,Digital Aspheric – High-index Plastic 1.53–1.60/Trivex,BA+BB,Copay = 45+28 (SV) / 55+28 (MF),0,0,16.0,material,"SV,OCC",yes,yes
Material,Mid,Digital Aspheric – High-index Plastic 1.53–1.60/Trivex,BA+BB,Copay = 45+28 (SV) / 55+28 (MF),0,0,16.0,material,"SV,OCC",yes,yes
Material,Hi67,Digital Aspheric – High-index Plastic 1.66/1.67,BA+BH,Copay = 45+58 (SV) / 55+68 (MF),0,0,37.0,material,"SV,OCC",yes,yes
Material,Hi67,Digital Aspheric – High-index Plastic 1.66/1.67,BA+BH,Copay = 45+58 (SV) / 55+68 (MF),0,0,40.0,material,"SV,OCC",yes,yes
Material,Hi70,Digital Aspheric – High-index Plastic 1.70 and Above,BA+BJ,Copay = 45+86 (SV),0,0,57.0,material,"SV,OCC",yes,yes
Material,Poly,Digital Aspheric – Polycarbonate,BA+BD,Copay = 45+10 (SV) / 55+10 (MF),0,0,10.0,material,"SV,OCC",yes,yes
Material,Poly,Digital Aspheric – Polycarbonate,BA+BD,Copay = 45+10 (SV) / 55+10 (MF),0,0,10.0,material,"SV,OCC",yes,yes
Sun,Polarized,Polarized Lenses – Plastic A,DA,,0,0,36.0,,ALL,yes,yes
Sun,Polarized,Polarized Lenses – Plastic A,DA,,0,0,48.0,,ALL,yes,yes
Sun,Polarized,Polarized – High-index Plastic 1.53–1.60/Trivex,DA+DB,Copay = 57+76 (SV) / 77+95 (MF),0,0,47.0,,ALL,yes,yes
Sun,Polarized,Polarized – High-index Plastic 1.53–1.60/Trivex,DA+DB,Copay = 57+76 (SV) / 77+95 (MF),0,0,59.0,,ALL,yes,yes
Sun,Polarized,Polarized – High-index Plastic 1.66/1.67,DA+DH,Copay = 57+89 (SV) / 77+108 (MF),0,0,55.0,,ALL,yes,yes
Sun,Polarized,Polarized – High-index Plastic 1.66/1.67,DA+DH,Copay = 57+89 (SV) / 77+108 (MF),0,0,67.0,,ALL,yes,yes
Sun,Polarized,Polarized – High-index Plastic 1.70 and Above,DA+DJ,Copay = 57+108 (SV),0,0,70.0,,ALL,yes,yes
Sun,Polarized,Polarized – Polycarbonate,DA+DD,Copay = 57+31 (SV) / 77+31 (MF),0,0,13.0,,ALL,yes,yes
Sun,Polarized,Polarized – Polycarbonate,DA+DD,Copay = 57+31 (SV) / 77+31 (MF),0,0,13.0,,ALL,yes,yes
Sun,Polarized,Polarized/Laminated Lenses – Glass,DE,,0,0,49.0,,ALL,yes,yes
Sun,Polarized,Polarized/Laminated Lenses – Glass,DE,,0,0,63.0,,ALL,yes,yes
Occupational,NVF,Near Variable Focus – Plastic,IA,,0,0,26.0,progressive,OCC,yes,yes
Occupational,NVF,Near Variable Focus – High-index Plastic 1.53–1.60/Trivex,IA+IB,Copay = 50+24 (MF),0,0,11.0,progressive,OCC,yes,yes
Occupational,NVF,Near Variable Focus – High-index Plastic 1.66/1.67,IA+II,Copay = 50+50 (MF),0,0,27.0,progressive,OCC,yes,yes
Occupational,NVF,Near Variable Focus – High-index Plastic 1.70 and Above,IA+IJ,Copay = 50+60 (MF),0,0,36.0,progressive,OCC,yes,yes
Occupational,NVF,Near Variable Focus – Polycarbonate,IA+ID,Copay = 50+20 (MF),0,0,7.0,progressive,OCC,yes,yes
Occupational,Blended,Blended Bifocal – Plastic,GA,,0,0,14.0,progressive,OCC,yes,yes
